"word","spelling","IPA_correct","Notes_1","Notes_2","Notes_3","Notes_4"
"excerto",,"['ejʃ.ˈseɾ.tu']","spelling sellection","syllable division",,"Error"
"peluche","['pɨ.ˈlu.ʃɨ']",,,,,"No error"
"contribuição","['kõ.tɾi.bwi.ˈsɐ̃w̃']",,,,,"No error"
"alguém","['aɫ.ˈɡɐ̃j̃']",,,,,"No error"
"caos","['ˈkawʃ']",,,,,"No error"
"algo","['ˈaɫ.ɡu']",,,,,"No error"
"anarquia","['ɐ.nɐɾ.ˈki.ɐ']",,,,,"No error"
"celeiro","['sɨ.ˈlɐj.ɾu']",,,,,"No error"
"carioca","['kɐ.ˈɾjɔ.kɐ']",,,,,"No error"
"grátis","['g4a.tiZ']",,,,,"No error"
"livre","['ˈli.vɾɨ']",,,,,"No error"
"Wikcionário","['ˌwik.sju.ˈna.ɾju']",,,,,"No error"
"dicionário","['di.sju.ˈna.ɾju']",,,,,"No error"
"granel","['ɡɾɐ.ˈnɛɫ']",,,,,"No error"
"software","['sɔf.ˈtwɛɾ']",,,,,"No error"
"inglês","['ĩ.ˈgleʃ']",,,,,"No error"
"português","['puɾ.tu.ˈɡeʃ']",,,,,"No error"
"francês","['ʃɾɐ̃.ˈseʃ']",,,,,"No error"
"islandês","['iʒ.lɐ̃.ˈdeʃ']",,,,,"No error"
"etimologia","['i.ti.mu.lu.ˈʒi.ɐ']",,,,,"No error"
"brasileiro",,"[brɐ.zi.ˈɫɐj.ɾu]","empty","syllable division",,"Error"
"israelita","['iʒ.Rɐ.ɛ.ˈli.tɐ']",,,,,"No error"
"judeu","['ʒu.ˈdew']",,,,,"No error"
"belga","['ˈbɛɫ.ɡɐ']",,,,,"No error"
"ucraniano","['u.kɾɐ.ˈnjɐ.nu']",,,,,"No error"
"tártaro","['ˈtaɾ.tɐ.ɾu']",,,,,"No error"
"língua","['ˈlĩ.ɡwɐ']",,,,,"No error"
"um","['ũ']",,,,,"No error"
"japonês","['ʒɐ.pu.ˈneʃ']",,,,,"No error"
"ninguém","['nĩ.ˈɡɐ̃j̃']",,,,,"No error"
"tudo","['ˈtu.du']",,,,,"No error"
"eu","['ˈew']",,,,,"No error"
"ele","['ˈe.lɨ']",,,,,"No error"
"tétum","['ˈtɛ.tũ']",,,,,"No error"
"vietnamita","['vjɛt.nɐ.ˈmi.tɐ']",,,,,"No error"
"triplicar","['tɾi.pli.ˈkaɾ']",,,,,"No error"
"quadruplicar","['kwɐ.dɾu.pli.ˈkaɾ']",,,,,"No error"
"quintuplicar","['kĩ.tu.pli.ˈkaɾ']",,,,,"No error"
"ateniense","['ɐ.tɨ.ˈnjẽ.sɨ']",,,,,"No error"
"alfabetizar","['aɫ.fɐ.bɨ.ti.ˈzaɾ']",,,,,"No error"
"trovadoresco","['tɾu.vɐ.du.ˈɾeʃ.ku']",,,,,"No error"
"europeu","['ew.ɾu.ˈpew']",,,,,"No error"
"étimo","['ˈɛ.ti.mu']",,,,,"No error"
"hoje","['ô.je']",,,,,"No error"
"homólogo","['ɔ.ˈmɔ.lu.ɡu']",,,,,"No error"
"medieval","['mɨ.djɛ.ˈvaɫ']",,,,,"No error"
"registar","['Rɨ.ʒiʃ.ˈtaɾ']",,,,,"No error"
"parisiense","['pɐ.ɾi.ˈzjẽ.sɨ']",,,,,"No error"
"angustiante","['ɐ̃.ɡuʃ.ˈtjtɨ']",,,,,"No error"
"ponte","['ˈpõ.tɨ']",,,,,"No error"
"contraproducente","['kõ.tɾɐ.pɾu.du.ˈsẽ.tɨ']",,,,,"No error"
"estender","['iʃ.tẽ.ˈdeɾ']",,,,,"No error"
"extensão","['ɐjʃ.tẽ.ˈsɐ̃w̃']",,,,,"No error"
"ajuda","['ɐ.ˈʒu.dɐ']",,,,,"No error"
"esplanada","['iʃ.plɐ.ˈna.dɐ']",,,,,"No error"
"contramão","['kõ.tɾɐ.ˈmɐ̃w̃']",,,,,"No error"
"abrunho","['ɐ.ˈbɾu.ɲu']",,,,,"No error"
"berlinense","['bɨɾ.li.ˈnẽ.sɨ']",,,,,"No error"
"atualmente","['ɐ.twaɫ.ˈmẽ.tɨ']",,,,,"No error"
"alado","['ɐ.ˈla.du']",,,,,"No error"
"inédito","['i.ˈnɛ.di.tu']",,,,,"No error"
"desenvolvimento","['dɨ.zẽ.voɫ.vi.ˈmẽ.tu']",,,,,"No error"
"paulatino","['paw.lɐ.ˈti.nu']",,,,,"No error"
"material",,"['mɐ.tɨ.ˈɾi.aɫ']","false diphthong",,,"Error"
"virose","['vi.ˈɾɔ.zɨ']",,,,,"No error"
"europeizar","['ew.ɾu.pɐ.i.ˈzaɾ']",,,,,"No error"
"manicómio","['mɐ.ni.ˈkɔ.mju']",,,,,"No error"
"banco","['ˈbɐ̃.ku']",,,,,"No error"
"gado","['ˈɡa.du']",,,,,"No error"
"natural","['nɐ.tu.ˈɾaɫ']",,,,,"No error"
"atarefado","['ɐ.tɐ.ɾɛ.ˈfa.du']",,,,,"No error"
"germânico","['ʒɨɾ.ˈmɐ.ni.ku']",,,,,"No error"
"liberdade","['li.bɨɾ.ˈda.dɨ']",,,,,"No error"
"mental","['mẽ.ˈtaɫ']",,,,,"No error"
"orégão","['ɔ.ˈɾɛ.ɡɐ̃w̃']",,,,,"No error"
"outrora","['ow.ˈtɾɔ.ɾɐ']",,,,,"No error"
"computador","['kõ.pu.tɐ.ˈdoɾ']",,,,,"No error"
"denominador","['dɨ.nu.mi.nɐ.ˈdoɾ']",,,,,"No error"
"medicina","['mɨ.dɨ.ˈsi.nɐ']",,,,,"No error"
"castelhano","['kɐʃ.tɨ.ˈʎɐ.nu']",,,,,"No error"
"asilo","['ɐ.ˈzi.lu']",,,,,"No error"
"orfanato","['ɔɾ.fɐ.ˈna.tu']",,,,,"No error"
"janeiro","['ʒɐ.ˈnɐj.ɾu']",,,,,"No error"
"novembro","['nu.ˈvẽ.bɾu']",,,,,"No error"
"mês","['ˈmeʃ']",,,,,"No error"
"românico","['Ru.ˈmɐ.ni.ku']",,,,,"No error"
"baço","['ˈba.su']",,,,,"No error"
"estrupício","['St4u.pi.siu_0']",,,,,"No error"
"bissetriz","['bi.sɛ.ˈtɾiʃ']",,,,,"No error"
"desordem","['dɨ.ˈzɔɾ.dɐ̃j̃']",,,,,"No error"
"remédio","['Rɨ.ˈmɛ.dju']",,,,,"No error"
"verbo","['ˈvɛɾ.bu']",,,,,"No error"
"polígono","['pu.ˈli.ɡu.nu']",,,,,"No error"
"ano","['ˈɐ.nu']",,,,,"No error"
"antes","['ˈɐ̃.tɨʃ']",,,,,"No error"
"ângulo","['ˈɐ̃.ɡu.lu']",,,,,"No error"
"belo","['ˈbɛ.lu']",,,,,"No error"
"cã","['kɐ̃']",,,,,"No error"
"segmento","['sɛˈɡ.mẽ.tu']",,,,,"No error"
"geometria","['ʒju.mɨ.ˈtɾi.ɐ']",,,,,"No error"
"matemática","['mɐ.tɨ.ˈma.ti.kɐ']",,,,,"No error"
"cão","['ˈkɐ̃w̃']",,,,,"No error"
"hebraico","['i.ˈbɾaj.ku']",,,,,"No error"
"itálico","['i.ˈta.li.ku']",,,,,"No error"
"grogue","['ˈɡɾɔ.ɡɨ']",,,,,"No error"
"triângulo","['tɾi.ɐ̃.ˈɡu.lu']",,,,,"No error"
"quadrilátero","['kwɐ.dɾi.ˈla.tɨ.ɾu']",,,,,"No error"
"pentágono","['pẽ.ˈta.ɡu.nu']",,,,,"No error"
"octógono","['ɔˈk.tɔ.ɡu.nu']",,,,,"No error"
"brasa","['ˈbɾa.zɐ']",,,,,"No error"
"hagiografia","['ɐ.ʒju.ɡɾɐ.ˈfi.ɐ']",,,,,"No error"
"dobrar","['du.ˈbɾaɾ']",,,,,"No error"
"sinónimo","['si.ˈnɔ.ni.mu']",,,,,"No error"
"antónimo","['ɐ̃.ˈtɔ.ni.mu']",,,,,"No error"
"horrendo","['u.ˈRẽ.du']",,,,,"No error"
"lindo","['ˈlĩ.du']",,,,,"No error"
"gostoso","['ɡuʃ.ˈto.zu']",,,,,"No error"
"canhão","['kɐ.ˈɲɐ̃w̃']",,,,,"No error"
"bonito","['bu.ˈni.tu']",,,,,"No error"
"ótimo","['ˈɔ.ti.mu']",,,,,"No error"
"dezassete","['dɨ.zɐ.ˈsɛ.tɨ']",,,,,"No error"
"árabe","['ˈa.ɾɐ.bɨ']",,,,,"No error"
"basquetebol","['baʃ.kɛ.tˈbɔɫ']",,,,,"No error"
"desporto","['dɨʃ.ˈpoɾ.tu']",,,,,"No error"
"futebol","['fu.tɨ.ˈbɔɫ']",,,,,"No error"
"natação","['nɐ.tɐ.ˈsɐ̃w̃']",,,,,"No error"
"célula","['ˈsɛ.lu.lɐ']",,,,,"No error"
"provento","['pɾu.ˈvẽ.tu']",,,,,"No error"
"voleibol","['vɔ.lɐj.ˈbɔɫ']",,,,,"No error"
"direito","['di.ˈɾɐj.tu']",,,,,"No error"
"angústia","['ɐ̃.ˈɡuʃ.tjɐ']",,,,,"No error"
"tapar","['tɐ.ˈpaɾ']",,,,,"No error"
"proteger","['pɾu.tɨ.ˈʒeɾ']",,,,,"No error"
"descobrir","['dɨʃ.ku.ˈbɾiɾ']",,,,,"No error"
"encerrar","['ẽ.sɨ.ˈRaɾ']",,,,,"No error"
"heterossexual","['ɛ.tɨ.ɾɔ.sɛ.ˈkswaɫ']",,,,,"No error"
"dois","['ˈdojʃ']",,,,,"No error"
"duas","['ˈdu.ɐʃ']",,,,,"No error"
"cilindro","['sɨ.ˈlĩ.dɾu']",,,,,"No error"
"retângulo","['Rɛ.ˈtɐ̃.ɡu.lu']",,,,,"No error"
"gramática","['ɡɾɐ.ˈma.ti.kɐ']",,,,,"No error"
"paráfrase","['pɐ.ˈɾa.fɾɐ.zɨ']",,,,,"No error"
"edição","['i.di.ˈsɐ̃w̃']",,,,,"No error"
"adjetivo","['ɐ.dʒɛ.ˈti.vu']",,,,,"No error"
"binómio","['bi.ˈnɔ.mju']",,,,,"No error"
"enciclopédia","['ẽ.si.klu.ˈpɛ.djɐ']",,,,,"No error"
"ela","['ˈɛ.lɐ']",,,,,"No error"
"cruzamento","['kɾu.zɐ.ˈmẽ.tu']",,,,,"No error"
"quadrúpede","['kwɐ.ˈdɾu.pɨ.dɨ']",,,,,"No error"
"sábado","['ˈsa.bɐ.du']",,,,,"No error"
"domingo","['du.ˈmĩ.ɡu']",,,,,"No error"
"onomatopeia","['ɔ.nɔ.mɐ.tu.ˈpɐj.ɐ']",,,,,"No error"
"atletismo","['ɐ.tlɛ.ˈtiʒ.mu']",,,,,"No error"
"salto","['ˈsaɫ.tu']",,,,,"No error"
"cavalo","['kɐ.ˈva.lu']",,,,,"No error"
"seis","['ˈsɐjʃ']",,,,,"No error"
"carro",,"[ka.Ru]","empty",,,"Error"
"bicicleta","['bi.si.ˈklɛ.tɐ']",,,,,"No error"
"quadrado","['kwɐ.ˈdɾa.du']",,,,,"No error"
"parque","['ˈpaɾ.kɨ']",,,,,"No error"
"delegacia","['dɨ.lɨ.ɡɐ.ˈsi.ɐ']",,,,,"No error"
"barraca","['bɐ.ˈRa.kɐ']",,,,,"No error"
"palco","['ˈpaɫ.ku']",,,,,"No error"
"palavra","['pɐ.ˈla.vɾɐ']",,,,,"No error"
"busílis","['bu.zi.ˈliʃ']",,,,,"No error"
"empecilho","['ẽ.pɨ.ˈsi.ʎu']",,,,,"No error"
"corrida","['ku.ˈRi.dɐ']",,,,,"No error"
"Wikcionário:Livro de estilo/Modelo","['pɾu.nˈũ.sjɐ']",,,,,"No error"
"famigerado","['fɐ.mi.ʒɨ.ˈɾa.du']",,,,,"No error"
"hiperespaço","['i.pɛ.ɾiʃ.ˈpa.su']",,,,,"No error"
"triatlo","['tɾi.ˈa.tlu']",,,,,"No error"
"kiwi","['ki.ˈvi']",,,,,"No error"
"preto","['ˈpɾe.tu']",,,,,"No error"
"prato","['ˈpɾa.tu']",,,,,"No error"
"pessoa","['pɨ.ˈso.ɐ']",,,,,"No error"
"estacionar","['iʃ.tɐ.sju.ˈnaɾ']",,,,,"No error"
"país","['pɐ.ˈiʃ']",,,,,"No error"
"mapa","['ˈma.pɐ']",,,,,"No error"
"sorvete","['suɾ.ˈve.tɨ']",,,,,"No error"
"alimento","['ɐ.li.ˈmẽ.tu']",,,,,"No error"
"planta","['ˈplɐ̃.tɐ']",,,,,"No error"
"trampolim","['tɾɐ̃.pu.ˈlĩ']",,,,,"No error"
"susto","['ˈsuʃ.tu']",,,,,"No error"
"ação","['a.ˈsɐ̃w̃']",,,,,"No error"
"gruta","['ˈɡɾu.tɐ']",,,,,"No error"
"sebo","['ˈse.bu']",,,,,"No error"
"neve","['ˈnɛ.vɨ']",,,,,"No error"
"estátua","['iʃ.ˈta.twɐ']",,,,,"No error"
"esgrima","['iʒ.ˈɡɾi.mɐ']",,,,,"No error"
"Portugal","['puɾ.tu.ˈɡal']",,,,,"No error"
"vermelho","['vɨɾ.ˈmɐj.ʎu']",,,,,"No error"
"encarnado","['ẽ.kɐɾ.ˈna.du']",,,,,"No error"
"pássaro","['ˈpa.sɐ.ɾu']",,,,,"No error"
"amarelo","['ɐ.mɐ.ˈɾɛ.lu']",,,,,"No error"
"branco","['ˈbɾɐ̃.ku']",,,,,"No error"
"azul","['ɐ.ˈzuɫ']",,,,,"No error"
"novo","['ˈno.vu']",,,,,"No error"
"queijo","['ˈkɐj.ʒu']",,,,,"No error"
"cesta","['ˈseʃ.tɐ']",,,,,"No error"
"chapéu","['ʃɐ.ˈpɛw']",,,,,"No error"
"tomate","['tu.ˈma.tɨ']",,,,,"No error"
"janela","['ʒɐ.ˈnɛ.lɐ']",,,,,"No error"
"orgulhoso","['ɔɾ.ɡu.ˈʎo.zu']",,,,,"No error"
"muro","['ˈmu.ɾu']",,,,,"No error"
"beijar","['bɐj.ˈʒaɾ']",,,,,"No error"
"barba","['ˈbaɾ.bɐ']",,,,,"No error"
"bigode","['bi.ˈɡɔ.dɨ']",,,,,"No error"
"ténis","['ˈtɛ.niʃ']",,,,,"No error"
"doutorar","['dow.tu.ˈɾaɾ']",,,,,"No error"
"trapo","['ˈtɾa.pu']",,,,,"No error"
"baleeiro","['bɐ.ˈljɐj.ɾu']",,,,,"No error"
"lista","['ˈliʃ.tɐ']",,,,,"No error"
"sonhar","['su.ˈɲaɾ']",,,,,"No error"
"dormir","['duɾ.ˈmiɾ']",,,,,"No error"
"framboesa","['fɾɐ̃.ˈbwe.zɐ']",,,,,"No error"
"febre","['ˈfɛ.bɾɨ']",,,,,"No error"
"pinote","['pi.ˈnɔ.tɨ']",,,,,"No error"
"sangue","['ˈsɐ̃.ɡɨ']",,,,,"No error"
"buscar","['buʃ.ˈkaɾ']",,,,,"No error"
"namorar","['nɐ.mu.ˈɾaɾ']",,,,,"No error"
"ioga","['ˈjɔ.ɡɐ']",,,,,"No error"
"eclíptica","['e.ˈkli.ti.kɐ']",,,,,"No error"
"legal","['lɨ.ˈɡaɫ']",,,,,"No error"
"fixe","['ˈfi.ʃɨ']",,,,,"No error"
"abacaxi","['ɐ.bɐ.kɐ.ˈʃi']",,,,,"No error"
"abacate","['ɐ.bɐ.ˈka.tɨ']",,,,,"No error"
"abóbora","['ɐ.ˈbɔ.bu.ɾɐ']",,,,,"No error"
"ameixa","['ɐ.mˈɐj.ʃɐ']",,,,,"No error"
"amêndoa","['ɐ.ˈmẽ.dwɐ']",,,,,"No error"
"amora","['ɐ.ˈmɔ.ɾɐ']",,,,,"No error"
"ata","['ˈa.tɐ']",,,,,"No error"
"avelã","['ɐ.vɨ.ˈlɐ̃']",,,,,"No error"
"azeitona",,"[ɐ.zɐj.ˈto.nɐ]","empty",,,"Error"
"banana","['bɐ.ˈnɐ.nɐ']",,,,,"No error"
"cabaça","['kɐ.ˈba.sɐ']",,,,,"No error"
"cacau","['kɐ.ˈkaw']",,,,,"No error"
"café","['kɐ.ˈfɛ']",,,,,"No error"
"caju","['ka.ˈʒu']",,,,,"No error"
"caqui","['ka.ˈki']",,,,,"No error"
"castanha","['kɐʃ.ˈtɐ.ɲɐ']",,,,,"No error"
"cereja","['sɨ.ˈɾɐj.ʒɐ']",,,,,"No error"
"disco","['ˈdiʃ.ku']",,,,,"No error"
"para","['ˈpɐ.ɾɐ']",,,,,"No error"
"em","['ɐj̃']",,,,,"No error"
"três","['ˈtɾeʃ']",,,,,"No error"
"dez","['ˈdɛʃ']",,,,,"No error"
"onze","['ˈõ.zɨ']",,,,,"No error"
"doze","['ˈdo.zɨ']",,,,,"No error"
"treze","['ˈtɾe.zɨ']",,,,,"No error"
"quinze","['ˈkĩ.zɨ']",,,,,"No error"
"quatro","['ˈkwa.tɾu']",,,,,"No error"
"ícone","['ˈi.ku.nɨ']",,,,,"No error"
"ferreiro","['fɨ.ˈRɐj.ɾu']",,,,,"No error"
"cinco","['ˈsĩ.ku']",,,,,"No error"
"verde","['ˈveɾ.dɨ']",,,,,"No error"
"dezoito","['dɨ.ˈzoj.tu']",,,,,"No error"
"vinte",,"['ˈvĩ.tɨ]","spelling sellection",,,"Error"
"nove","['ˈnɔ.vɨ']",,,,,"No error"
"oito","['ˈoj.tu']",,,,,"No error"
"sete","['ˈsɛ.tɨ']",,,,,"No error"
"mocidade","['mu.si.ˈda.dɨ']",,,,,"No error"
"trinta","['ˈtɾĩ.tɐ']",,,,,"No error"
"cem","['ˈsɐ̃j̃']",,,,,"No error"
"exorbitante","['i.zuɾ.bi.ˈtɐ̃.tɨ']",,,,,"No error"
"glossário","['ɡlu.ˈsa.ɾju']",,,,,"No error"
"sanita","['sɐ.ˈni.tɐ']",,,,,"No error"
"noventa","['nu.ˈvẽ.tɐ']",,,,,"No error"
"quarenta","['kwɐ.ˈɾẽ.tɐ']",,,,,"No error"
"sessenta","['sɨ.ˈsẽ.tɐ']",,,,,"No error"
"setenta","['sɨ.ˈtẽ.tɐ']",,,,,"No error"
"oitenta","['oj.ˈtẽ.tɐ']",,,,,"No error"
"segundo","['sɨ.ˈɡũ.du']",,,,,"No error"
"quarto","['ˈkwaɾ.tu']",,,,,"No error"
"quinto","['ˈkĩ.tu']",,,,,"No error"
"maremoto","['mɐ.ɾɨ.ˈmɔ.tu']",,,,,"No error"
"leite","['ˈlɐj.tɨ']",,,,,"No error"
"jesuíta","['ʒɨ.ˈzwi.tɐ']",,,,,"No error"
"bimensal","['bi.mẽ.ˈsaɫ']",,,,,"No error"
"bimestral","['bi.mɨʃ.ˈtɾaɫ']",,,,,"No error"
"adicionar","['ɐ.di.sju.ˈnaɾ']",,,,,"No error"
"sétimo","['ˈsɛ.ti.mu']",,,,,"No error"
"mil","['ˈmiɫ']",,,,,"No error"
"semana","['sɨ.ˈmɐ.nɐ']",,,,,"No error"
"coco","['ˈko.ku']",,,,,"No error"
"cone","['ˈkɔ.nɨ']",,,,,"No error"
"lícito","['ˈli.si.tu']",,,,,"No error"
"causalidade","['kaw.zɐ.li.ˈda.dɨ']",,,,,"No error"
"constituição","['kõʃ.ti.twi.ˈsɐ̃w̃']",,,,,"No error"
"filmar","['fiɫ.ˈmaɾ']",,,,,"No error"
"hospitaleiro","['ɔʃ.pi.tɐ.ˈlɐj.ɾu']",,,,,"No error"
"nono","['ˈno.nu']",,,,,"No error"
"décimo","['ˈdɛ.si.mu']",,,,,"No error"
"vigésimo","['vi.ˈʒɛ.zi.mu']",,,,,"No error"
"trigésimo","['tɾi.ˈʒɛ.zi.mu']",,,,,"No error"
"ervilha","['eɾ.ˈvi.ʎɐ']",,,,,"No error"
"centésimo","['sẽ.ˈtɛ.zi.mu']",,,,,"No error"
"quingentésimo","['kwĩ.ʒẽ.ˈtɛ.zi.mu']",,,,,"No error"
"abordar","['ɐ.buɾ.ˈdaɾ']",,,,,"No error"
"milésimo","['mi.ˈlɛ.zi.mu']",,,,,"No error"
"convencionalismo","['kõ.vẽ.sju.nɐ.ˈliʒ.mu']",,,,,"No error"
"sim","['ˈsĩ']",,,,,"No error"
"seguimento","['sɨ.ɡi.ˈmẽ.tu']",,,,,"No error"
"uno","['ˈunu']",,,,,"No error"
"ginja","['ˈʒĩ.ʒɐ']",,,,,"No error"
"glande","['ˈɡlɐ̃.dɨ']",,,,,"No error"
"goiaba","['ɡoj.ˈa.bɐ']",,,,,"No error"
"groselha","['ɡɾɔ.ˈze.ʎɐ']",,,,,"No error"
"cego","['ˈsɛ.ɡu']",,,,,"No error"
"abalroar","['ɐ.baɫ.ˈRwaɾ']",,,,,"No error"
"munícipe","['mu.ˈni.si.pɨ']",,,,,"No error"
"pensão","['pẽ.ˈsɐ̃w̃']",,,,,"No error"
"duo","['ˈdu.ɔ']",,,,,"No error"
"imbecil","['ĩ.bɨ.ˈsiɫ']",,,,,"No error"
"palerma","['pɐ.ˈlɛɾ.mɐ']",,,,,"No error"
"pateta","['pa.ˈtɛ.tɐ']",,,,,"No error"
"abulia","['ɐ.bu.ˈli.ɐ']",,,,,"No error"
"mórbido","['ˈmɔɾ.bi.du']",,,,,"No error"
"habitante","['ɐ.bi.ˈtɐ̃.tɨ']",,,,,"No error"
"barafunda","['bɐ.ɾɐ.ˈfũ.dɐ']",,,,,"No error"
"pouco","['ˈpow.ku']",,,,,"No error"
"rede","['ˈRe.dɨ']",,,,,"No error"
"gringo","['ˈɡɾĩ.ɡu']",,,,,"No error"
"estrangeiro",,"['iʃ.tɾɐ̃.ˈʒɐj.ɾu]","spelling sellection",,,"Error"
"pelagem","['pɨ.ˈla.ʒɐ̃j̃']",,,,,"No error"
"mundo","['ˈmũ.du']",,,,,"No error"
